Epoch 46/400 train_mse_scaled=0.033965 val_mae=161.473 val_rmse=212.910 test_mae=166.568 test_rmse=207.293 tf=0.91 lr=1.5625e-05
Epoch 47/400 train_mse_scaled=0.035463 val_mae=163.315 val_rmse=215.498 test_mae=167.097 test_rmse=208.478 tf=0.91 lr=1.5625e-05
Epoch 48/400 train_mse_scaled=0.034353 val_mae=162.334 val_rmse=214.478 test_mae=166.507 test_rmse=207.591 tf=0.91 lr=1.5625e-05
Epoch 49/400 train_mse_scaled=0.034785 val_mae=162.718 val_rmse=214.742 test_mae=165.791 test_rmse=207.049 tf=0.90 lr=7.8125e-06
Epoch 50/400 train_mse_scaled=0.036388 val_mae=163.275 val_rmse=215.396 test_mae=166.894 test_rmse=208.202 tf=0.90 lr=7.8125e-06
Epoch 51/400 train_mse_scaled=0.035611 val_mae=161.934 val_rmse=213.556 test_mae=166.590 test_rmse=207.342 tf=0.90 lr=7.8125e-06
Epoch 52/400 train_mse_scaled=0.036170 val_mae=162.763 val_rmse=214.695 test_mae=166.954 test_rmse=208.027 tf=0.90 lr=7.8125e-06
Epoch 53/400 train_mse_scaled=0.035376 val_mae=163.263 val_rmse=215.255 test_mae=166.921 test_rmse=208.185 tf=0.90 lr=3.90625e-06
Epoch 54/400 train_mse_scaled=0.036521 val_mae=163.176 val_rmse=215.277 test_mae=166.856 test_rmse=208.123 tf=0.89 lr=3.90625e-06
Epoch 55/400 train_mse_scaled=0.037659 val_mae=162.672 val_rmse=214.531 test_mae=166.379 test_rmse=207.446 tf=0.89 lr=3.90625e-06
Epoch 56/400 train_mse_scaled=0.035394 val_mae=162.045 val_rmse=213.824 test_mae=166.551 test_rmse=207.413 tf=0.89 lr=3.90625e-06
Epoch 57/400 train_mse_scaled=0.037038 val_mae=162.934 val_rmse=214.944 test_mae=166.803 test_rmse=207.989 tf=0.89 lr=1.95313e-06
Epoch 58/400 train_mse_scaled=0.034493 val_mae=162.572 val_rmse=214.528 test_mae=166.784 test_rmse=207.855 tf=0.89 lr=1.95313e-06
Epoch 59/400 train_mse_scaled=0.037785 val_mae=162.062 val_rmse=213.812 test_mae=166.638 test_rmse=207.505 tf=0.88 lr=1.95313e-06
Epoch 60/400 train_mse_scaled=0.038575 val_mae=162.166 val_rmse=213.926 test_mae=166.641 test_rmse=207.541 tf=0.88 lr=1.95313e-06
Epoch 61/400 train_mse_scaled=0.038149 val_mae=161.829 val_rmse=213.503 test_mae=166.572 test_rmse=207.346 tf=0.88 lr=9.76563e-07
Epoch 62/400 train_mse_scaled=0.036898 val_mae=162.044 val_rmse=213.760 test_mae=166.530 test_rmse=207.384 tf=0.88 lr=9.76563e-07
